,city,country,latitude,temp,clouds,windspd,humidity
0,Tuktoyaktuk,CA,69.44,-7.6,40,6.93,76
1,Chuy,UY,-33.69,68.56,0,12.64,76
2,Port Hedland,AU,-20.31,80.6,7,8.05,19
3,Atuona,PF,-9.8,80.24,21,13.69,72
4,Gasa,BT,27.91,24.42,0,1.14,67
5,Port Alfred,ZA,-33.59,64.0,46,1.01,93
6,Guerrero Negro,MX,27.97,78.58,0,11.41,44
7,Vaini,TO,-21.2,73.4,40,10.29,83
8,Ahipara,NZ,-35.17,63.0,47,17.6,100
9,Puerto Leguizamo,CO,-0.19,81.59,100,3.13,91
10,Santo Antonio do Sudoeste,BR,-26.07,73.36,100,5.46,88
11,Namatanai,PG,-3.66,81.72,100,3.24,76
12,Busselton,AU,-33.64,60.01,0,15.08,48
13,Caravelas,BR,-17.73,75.0,92,8.9,83
14,Hobart,AU,-42.88,53.6,40,19.46,46
15,Yumen,CN,40.29,28.33,67,14.47,44
16,Praia da Vitoria,PT,38.73,62.6,90,16.75,72
17,Jamestown,SH,-15.94,68.94,82,16.13,76
18,Gimli,CA,50.63,28.0,98,11.01,67
19,Kholm-Zhirkovskiy,RU,55.52,36.46,0,10.67,84
20,Rikitea,PF,-23.12,71.04,5,22.24,79
21,Saskylakh,RU,71.97,-10.17,100,14.12,96
22,Kapaa,US,22.08,80.6,1,5.82,78
23,Avarua,CK,-21.21,78.8,0,12.75,78
24,Ribeira Grande,PT,38.52,62.6,75,12.75,72
25,Sokoto,NG,13.06,80.58,0,5.41,18
26,Inirida,CO,3.87,83.53,58,4.97,78
27,Bluff,NZ,-46.6,52.0,68,8.99,75
28,Provideniya,RU,64.42,23.0,20,35.79,73
29,Puerto Ayora,EC,-0.74,78.8,75,6.93,61
30,Amahai,ID,-3.31,78.39,31,7.02,70
31,Punta Arenas,CL,-53.16,59.0,90,6.93,87
32,Necochea,AR,-38.55,63.0,0,7.0,75
33,Bethel,US,60.79,10.4,40,24.16,78
34,Ladario,BR,-19.0,82.4,75,6.93,69
35,Bredasdorp,ZA,-34.53,66.2,12,3.36,93
36,Wuda,CN,39.5,39.34,11,18.72,21
